Group,Architecture,Valid F1,Test F1,Valid IoU,Test IoU,Valid Accuracy,Test Accuracy
data_corrected_w_annotation,deeplabv3plus,0.670 ± 0.008,0.712 ± 0.017,0.504 ± 0.009,0.553 ± 0.020,0.934 ± 0.001,0.940 ± 0.002
data_corrected_w_annotation,manet,0.672 ± 0.010,0.711 ± 0.009,0.507 ± 0.011,0.553 ± 0.011,0.936 ± 0.002,0.941 ± 0.001
data_corrected_w_annotation,pspnet,0.670 ± 0.011,0.700 ± 0.020,0.504 ± 0.013,0.539 ± 0.023,0.935 ± 0.001,0.939 ± 0.003
data_corrected_w_annotation,unet,0.667 ± 0.032,0.701 ± 0.019,0.501 ± 0.035,0.540 ± 0.023,0.935 ± 0.002,0.940 ± 0.002
data_corrected_w_annotation,unetplusplus,0.679 ± 0.007,0.706 ± 0.007,0.514 ± 0.008,0.546 ± 0.008,0.936 ± 0.002,0.939 ± 0.003
data_corrected_wo_annotation,deeplabv3plus,0.563 ± 0.083,0.648 ± 0.080,0.396 ± 0.078,0.485 ± 0.089,0.928 ± 0.006,0.939 ± 0.007
data_corrected_wo_annotation,manet,0.669 ± 0.032,0.710 ± 0.025,0.503 ± 0.037,0.554 ± 0.030,0.940 ± 0.003,0.944 ± 0.001
data_corrected_wo_annotation,pspnet,0.571 ± 0.124,0.642 ± 0.091,0.407 ± 0.123,0.479 ± 0.102,0.931 ± 0.011,0.938 ± 0.007
data_corrected_wo_annotation,unet,0.590 ± 0.098,0.673 ± 0.073,0.424 ± 0.101,0.512 ± 0.088,0.931 ± 0.008,0.940 ± 0.004
data_corrected_wo_annotation,unetplusplus,0.656 ± 0.054,0.711 ± 0.041,0.490 ± 0.060,0.558 ± 0.050,0.940 ± 0.005,0.944 ± 0.003
data_uncorrected,deeplabv3plus,0.716 ± 0.022,0.697 ± 0.056,0.565 ± 0.023,0.538 ± 0.064,0.947 ± 0.003,0.952 ± 0.007
data_uncorrected,manet,0.744 ± 0.016,0.725 ± 0.028,0.598 ± 0.018,0.571 ± 0.035,0.950 ± 0.003,0.955 ± 0.003
data_uncorrected,pspnet,0.727 ± 0.070,0.705 ± 0.055,0.579 ± 0.084,0.546 ± 0.066,0.949 ± 0.008,0.952 ± 0.005
data_uncorrected,unet,0.756 ± 0.030,0.739 ± 0.013,0.611 ± 0.037,0.587 ± 0.015,0.952 ± 0.004,0.955 ± 0.003
data_uncorrected,unetplusplus,0.724 ± 0.019,0.698 ± 0.014,0.572 ± 0.021,0.537 ± 0.017,0.948 ± 0.003,0.952 ± 0.002
uncorrected_l,deeplabv3plus,0.821 ± 0.001,0.796 ± 0.008,0.697 ± 0.002,0.662 ± 0.011,0.968 ± 0.001,0.975 ± 0.001
uncorrected_l,manet,0.821 ± 0.005,0.800 ± 0.009,0.697 ± 0.007,0.666 ± 0.013,0.967 ± 0.002,0.975 ± 0.000
uncorrected_l,pspnet,0.816 ± 0.009,0.797 ± 0.009,0.690 ± 0.012,0.662 ± 0.012,0.967 ± 0.001,0.975 ± 0.001
uncorrected_l,unet,0.819 ± 0.007,0.795 ± 0.011,0.695 ± 0.010,0.661 ± 0.015,0.968 ± 0.001,0.975 ± 0.001
uncorrected_l,unetplusplus,0.818 ± 0.003,0.787 ± 0.004,0.693 ± 0.005,0.649 ± 0.006,0.966 ± 0.001,0.972 ± 0.000
uncorrected_lb,deeplabv3plus,0.754 ± 0.010,0.874 ± 0.000,0.607 ± 0.012,0.778 ± 0.001,0.965 ± 0.001,0.986 ± 0.000
uncorrected_lb,manet,0.727 ± 0.030,0.869 ± 0.010,0.574 ± 0.038,0.770 ± 0.016,0.963 ± 0.004,0.986 ± 0.001
