Group,Architecture,threshold,Valid F1,Test F1,Valid IoU,Test IoU,Valid Accuracy,Test Accuracy
data_corrected_w_annotation,assgan,0.2,0.618 ± 0.000,0.611 ± 0.000,0.452 ± 0.000,0.441 ± 0.000,0.912 ± 0.000,0.906 ± 0.000
data_corrected_w_annotation,assgan,0.5,0.681 ± 0.000,0.688 ± 0.000,0.517 ± 0.000,0.525 ± 0.000,0.939 ± 0.000,0.937 ± 0.000
data_corrected_w_annotation,assgan,0.8,0.582 ± 0.000,0.616 ± 0.000,0.412 ± 0.000,0.448 ± 0.000,0.930 ± 0.000,0.934 ± 0.000
data_corrected_wo_annotation,assgan,0.2,0.654 ± 0.000,0.752 ± 0.000,0.498 ± 0.000,0.606 ± 0.000,0.921 ± 0.000,0.933 ± 0.000
data_corrected_wo_annotation,assgan,0.5,0.680 ± 0.000,0.770 ± 0.000,0.522 ± 0.000,0.630 ± 0.000,0.934 ± 0.000,0.944 ± 0.000
data_corrected_wo_annotation,assgan,0.8,0.703 ± 0.000,0.760 ± 0.000,0.543 ± 0.000,0.620 ± 0.000,0.943 ± 0.000,0.946 ± 0.000
data_uncorrected,assgan,0.2,0.693 ± 0.000,0.644 ± 0.000,0.535 ± 0.000,0.478 ± 0.000,0.912 ± 0.000,0.921 ± 0.000
data_uncorrected,assgan,0.5,0.768 ± 0.000,0.688 ± 0.000,0.626 ± 0.000,0.527 ± 0.000,0.943 ± 0.000,0.938 ± 0.000
data_uncorrected,assgan,0.8,0.751 ± 0.000,0.676 ± 0.000,0.603 ± 0.000,0.516 ± 0.000,0.947 ± 0.000,0.944 ± 0.000
uncorrected_l,assgan,0.2,0.672 ± 0.000,0.544 ± 0.000,0.508 ± 0.000,0.386 ± 0.000,0.928 ± 0.000,0.914 ± 0.000
uncorrected_l,assgan,0.5,0.711 ± 0.000,0.655 ± 0.000,0.552 ± 0.000,0.498 ± 0.000,0.947 ± 0.000,0.951 ± 0.000
uncorrected_l,assgan,0.8,0.723 ± 0.000,0.744 ± 0.000,0.567 ± 0.000,0.593 ± 0.000,0.949 ± 0.000,0.967 ± 0.000
uncorrected_lb,assgan,0.2,0.486 ± 0.000,0.530 ± 0.000,0.337 ± 0.000,0.370 ± 0.000,0.878 ± 0.000,0.914 ± 0.000
uncorrected_lb,assgan,0.5,0.633 ± 0.000,0.740 ± 0.000,0.482 ± 0.000,0.593 ± 0.000,0.947 ± 0.000,0.969 ± 0.000
uncorrected_lb,assgan,0.8,0.662 ± 0.000,0.789 ± 0.000,0.509 ± 0.000,0.658 ± 0.000,0.953 ± 0.000,0.978 ± 0.000
uncorrected_lm,assgan,0.2,0.538 ± 0.000,0.607 ± 0.000,0.373 ± 0.000,0.439 ± 0.000,0.841 ± 0.000,0.880 ± 0.000
uncorrected_lm,assgan,0.5,0.611 ± 0.000,0.653 ± 0.000,0.443 ± 0.000,0.489 ± 0.000,0.906 ± 0.000,0.919 ± 0.000
uncorrected_lm,assgan,0.8,0.584 ± 0.000,0.659 ± 0.000,0.415 ± 0.000,0.493 ± 0.000,0.904 ± 0.000,0.920 ± 0.000
uncorrected_nl,assgan,0.2,0.582 ± 0.000,0.545 ± 0.000,0.416 ± 0.000,0.380 ± 0.000,0.896 ± 0.000,0.871 ± 0.000
uncorrected_nl,assgan,0.5,0.681 ± 0.000,0.613 ± 0.000,0.523 ± 0.000,0.451 ± 0.000,0.942 ± 0.000,0.915 ± 0.000
uncorrected_nl,assgan,0.8,0.644 ± 0.000,0.567 ± 0.000,0.479 ± 0.000,0.405 ± 0.000,0.945 ± 0.000,0.922 ± 0.000
