Group,Architecture,Valid F1,Test F1,Valid IoU,Test IoU,Valid Accuracy,Test Accuracy
data_corrected_w_annotation,deeplabv3plus,0.462 ± 0.184,0.441 ± 0.187,0.313 ± 0.150,0.295 ± 0.149,0.919 ± 0.011,0.914 ± 0.007
data_corrected_w_annotation,manet,0.244 ± 0.030,0.224 ± 0.016,0.140 ± 0.020,0.126 ± 0.011,0.905 ± 0.002,0.906 ± 0.001
data_corrected_w_annotation,pspnet,0.381 ± 0.212,0.363 ± 0.205,0.252 ± 0.176,0.236 ± 0.166,0.912 ± 0.011,0.909 ± 0.003
data_corrected_w_annotation,unet,0.295 ± 0.082,0.287 ± 0.099,0.177 ± 0.060,0.171 ± 0.072,0.908 ± 0.005,0.909 ± 0.004
data_corrected_w_annotation,unetplusplus,0.267 ± 0.024,0.257 ± 0.034,0.155 ± 0.016,0.148 ± 0.023,0.907 ± 0.002,0.908 ± 0.002
data_corrected_wo_annotation,deeplabv3plus,0.098 ± 0.030,0.115 ± 0.023,0.053 ± 0.017,0.062 ± 0.013,0.899 ± 0.001,0.895 ± 0.001
data_corrected_wo_annotation,manet,0.208 ± 0.069,0.245 ± 0.073,0.118 ± 0.043,0.142 ± 0.047,0.904 ± 0.003,0.904 ± 0.005
data_corrected_wo_annotation,pspnet,0.156 ± 0.086,0.188 ± 0.121,0.087 ± 0.052,0.108 ± 0.077,0.901 ± 0.005,0.900 ± 0.008
data_corrected_wo_annotation,unet,0.235 ± 0.100,0.284 ± 0.096,0.137 ± 0.066,0.169 ± 0.066,0.906 ± 0.006,0.907 ± 0.007
data_corrected_wo_annotation,unetplusplus,0.101 ± 0.031,0.120 ± 0.033,0.054 ± 0.018,0.065 ± 0.019,0.899 ± 0.001,0.896 ± 0.002
data_uncorrected,deeplabv3plus,0.385 ± 0.034,0.382 ± 0.028,0.240 ± 0.026,0.237 ± 0.021,0.912 ± 0.003,0.924 ± 0.002
data_uncorrected,manet,0.370 ± 0.035,0.362 ± 0.028,0.229 ± 0.026,0.221 ± 0.021,0.911 ± 0.003,0.923 ± 0.001
data_uncorrected,pspnet,0.403 ± 0.022,0.387 ± 0.012,0.255 ± 0.017,0.240 ± 0.009,0.913 ± 0.002,0.924 ± 0.001
data_uncorrected,unet,0.365 ± 0.007,0.368 ± 0.007,0.224 ± 0.006,0.225 ± 0.005,0.910 ± 0.001,0.923 ± 0.000
data_uncorrected,unetplusplus,0.362 ± 0.019,0.361 ± 0.018,0.223 ± 0.014,0.220 ± 0.013,0.911 ± 0.001,0.923 ± 0.001
uncorrected_l,deeplabv3plus,0.379 ± 0.007,0.364 ± 0.012,0.235 ± 0.006,0.223 ± 0.009,0.924 ± 0.001,0.946 ± 0.001
