"epoch","stilted-haze-15 - _step","stilted-haze-15 - _step__MIN","stilted-haze-15 - _step__MAX","stilted-haze-15 - valid_dataset_f1","stilted-haze-15 - valid_dataset_f1__MIN","stilted-haze-15 - valid_dataset_f1__MAX","apricot-butterfly-13 - _step","apricot-butterfly-13 - _step__MIN","apricot-butterfly-13 - _step__MAX","apricot-butterfly-13 - valid_dataset_f1","apricot-butterfly-13 - valid_dataset_f1__MIN","apricot-butterfly-13 - valid_dataset_f1__MAX"
"0","0","0","0","0.12708979845046997","0.12708979845046997","0.12708979845046997","0","0","0","0.10076155513525009","0.10076155513525009","0.10076155513525009"
"1","1","1","1","0.05805043876171112","0.05805043876171112","0.05805043876171112","1","1","1","0.03801018372178078","0.03801018372178078","0.03801018372178078"
"2","2","2","2","0.02145281806588173","0.02145281806588173","0.02145281806588173","2","2","2","0.012156627140939236","0.012156627140939236","0.012156627140939236"
"3","3","3","3","0.007785741239786148","0.007785741239786148","0.007785741239786148","3","3","3","0.0067701321095228195","0.0067701321095228195","0.0067701321095228195"
"4","4","4","4","0.005961688235402107","0.005961688235402107","0.005961688235402107","4","4","4","0.01189449056982994","0.01189449056982994","0.01189449056982994"
"5","5","5","5","0.006819639354944229","0.006819639354944229","0.006819639354944229","5","5","5","0.04440683126449585","0.04440683126449585","0.04440683126449585"
"6","6","6","6","0.019033929333090782","0.019033929333090782","0.019033929333090782","6","6","6","0.09291145205497742","0.09291145205497742","0.09291145205497742"
"7","7","7","7","0.06849793344736099","0.06849793344736099","0.06849793344736099","7","7","7","0.1482451856136322","0.1482451856136322","0.1482451856136322"
"8","8","8","8","0.14912912249565125","0.14912912249565125","0.14912912249565125","8","8","8","0.22190654277801514","0.22190654277801514","0.22190654277801514"
"9","9","9","9","0.23389455676078796","0.23389455676078796","0.23389455676078796","9","9","9","0.29471874237060547","0.29471874237060547","0.29471874237060547"
"10","10","10","10","0.3329170346260071","0.3329170346260071","0.3329170346260071","10","10","10","0.3838825225830078","0.3838825225830078","0.3838825225830078"
"11","11","11","11","0.4316946566104889","0.4316946566104889","0.4316946566104889","11","11","11","0.44776099920272827","0.44776099920272827","0.44776099920272827"
"12","12","12","12","0.5015885829925537","0.5015885829925537","0.5015885829925537","12","12","12","0.49684762954711914","0.49684762954711914","0.49684762954711914"
"13","13","13","13","0.5336853265762329","0.5336853265762329","0.5336853265762329","13","13","13","0.5237962007522583","0.5237962007522583","0.5237962007522583"
"14","14","14","14","0.5858277082443237","0.5858277082443237","0.5858277082443237","14","14","14","0.5674917697906494","0.5674917697906494","0.5674917697906494"
"15","15","15","15","0.6305052042007446","0.6305052042007446","0.6305052042007446","15","15","15","0.58577561378479","0.58577561378479","0.58577561378479"
"16","16","16","16","0.6417397856712341","0.6417397856712341","0.6417397856712341","16","16","16","0.5938235521316528","0.5938235521316528","0.5938235521316528"
"17","17","17","17","0.6565265655517578","0.6565265655517578","0.6565265655517578","17","17","17","0.5974209308624268","0.5974209308624268","0.5974209308624268"
"18","18","18","18","0.6621103882789612","0.6621103882789612","0.6621103882789612","18","18","18","0.6227390170097351","0.6227390170097351","0.6227390170097351"
"19","19","19","19","0.6654541492462158","0.6654541492462158","0.6654541492462158","19","19","19","0.639896810054779","0.639896810054779","0.639896810054779"
"20","20","20","20","0.6655809879302979","0.6655809879302979","0.6655809879302979","20","20","20","0.6318477988243103","0.6318477988243103","0.6318477988243103"
