"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset.cache_data","dataset.data_dir","dataset.dev","dataset.experiment","dataset.project","dataset.test","dataset.train","model_opts.args.arch1","model_opts.args.arch2","model_opts.args.classification_loss","model_opts.args.encoder_name1","model_opts.args.encoder_name2","train_par.adam_betas","train_par.adam_g","train_par.batch_size","train_par.devices","train_par.early_stopping.mode","train_par.early_stopping.monitor","train_par.early_stopping.patience","train_par.epochs","train_par.gamma_thresh","train_par.lambda_adv","train_par.lambda_adv_u","train_par.lambda_clas","train_par.lambda_clas_u","train_par.lambda_seg","train_par.lambda_semi","train_par.lr_d","train_par.lr_g","train_par.polynomial_power","train_par.profiler","train_par.random_seed","train_par.results_model_filename","train_par.results_path","train_par.strategy","train_par.supervised_epochs","train_par.weight_decay","train_par.workers","epoch","test_dataset_acc","test_dataset_f1","test_dataset_iou","test_per_image_acc","test_per_image_f1","test_per_image_iou","train/loss_d","train/loss_g","trainer/global_step","valid_dataset_acc","valid_dataset_f1","valid_dataset_iou","valid_per_image_acc","valid_per_image_f1","valid_per_image_iou"
"experiment_data_corrected_w_annotation_r1_gt0.8","failed","-","","","2025-05-19T20:34:14.000Z","481","","false","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_uncorrected","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_corrected_w_annotation/validation.csv","experiment","ASSGAN","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_corrected_w_annotation/test.csv","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_corrected_w_annotation/train.csv","deeplabv3plus","pspnet","false","resnet34","resnet34","[0.9,0.9]","true","128","4","max","valid_dataset_iou","20","400","0.8","0.01","0.001","0.1","0.1","1","0.1","0.0001","0.0001","0.9","false","2024","/scratch/bcastane_lab/eochoaal/first_year_exam/results/experiment/experiment_data_corrected_w_annotation_r1_gt0.8","/scratch/bcastane_lab/eochoaal/first_year_exam/results","ddp_find_unused_parameters_true","200","0.0001","8","201","","","","","","","0.4047875702381134","0.1234070211648941","201","0.9280470609664916","0.5455138087272644","0.3762771487236023","0.9280470609664916","0.6119759678840637","0.500946581363678"
"experiment_data_corrected_w_annotation_r1_gt0.5","failed","-","","","2025-05-19T20:25:24.000Z","486","","false","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_uncorrected","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_corrected_w_annotation/validation.csv","experiment","ASSGAN","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_corrected_w_annotation/test.csv","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_corrected_w_annotation/train.csv","deeplabv3plus","pspnet","false","resnet34","resnet34","[0.9,0.9]","true","128","4","max","valid_dataset_iou","20","400","0.5","0.01","0.001","0.1","0.1","1","0.1","0.0001","0.0001","0.9","false","2024","/scratch/bcastane_lab/eochoaal/first_year_exam/results/experiment/experiment_data_corrected_w_annotation_r1_gt0.5","/scratch/bcastane_lab/eochoaal/first_year_exam/results","ddp_find_unused_parameters_true","200","0.0001","8","201","","","","","","","0.40476176142692566","0.12510012090206146","201","0.930597186088562","0.5746147632598877","0.40417617559432983","0.9305973052978516","0.6296838521957397","0.5189459323883057"
"experiment_data_corrected_w_annotation_r1_gt0.2","failed","-","","","2025-05-19T20:16:36.000Z","483","","false","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_uncorrected","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_corrected_w_annotation/validation.csv","experiment","ASSGAN","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_corrected_w_annotation/test.csv","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_corrected_w_annotation/train.csv","deeplabv3plus","pspnet","false","resnet34","resnet34","[0.9,0.9]","true","128","4","max","valid_dataset_iou","20","400","0.2","0.01","0.001","0.1","0.1","1","0.1","0.0001","0.0001","0.9","false","2024","/scratch/bcastane_lab/eochoaal/first_year_exam/results/experiment/experiment_data_corrected_w_annotation_r1_gt0.2","/scratch/bcastane_lab/eochoaal/first_year_exam/results","ddp_find_unused_parameters_true","200","0.0001","8","201","","","","","","","0.40433287620544434","0.12550699710845947","201","0.9273107051849364","0.520290732383728","0.3521687686443329","0.9273107647895812","0.5589072108268738","0.4440309703350067"
"experiment_uncorrected_lm_r1_gt0.8","finished","-","","","2025-05-19T06:21:47.000Z","1082","","false","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_uncorrected","/scratch/bcastane_lab/eochoaal/first_year_exam/data/validation_lm.csv","experiment","ASSGAN","/scratch/bcastane_lab/eochoaal/first_year_exam/data/test_lm.csv","/scratch/bcastane_lab/eochoaal/first_year_exam/data/train_lm.csv","deeplabv3plus","pspnet","false","resnet34","resnet34","[0.9,0.9]","true","128","4","max","valid_dataset_iou","20","400","0.8","0.01","0.001","0.1","0.1","1","0.1","0.0001","0.0001","0.9","false","2024","/scratch/bcastane_lab/eochoaal/first_year_exam/results/experiment/experiment_uncorrected_lm_r1_gt0.8","/scratch/bcastane_lab/eochoaal/first_year_exam/results","ddp_find_unused_parameters_true","200","0.0001","8","400","0.9385747313499452","0.7420850992202759","0.5960257649421692","0.9385748505592346","0.6834774613380432","0.5844820737838745","0.3572938144207001","NaN","400","0.923995852470398","0.6883220672607422","0.5272884964942932","0.9239959120750428","0.6870858073234558","0.5674475431442261"
"experiment_uncorrected_lm_r1_gt0.5","finished","-","","","2025-05-19T06:03:14.000Z","1089","","false","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_uncorrected","/scratch/bcastane_lab/eochoaal/first_year_exam/data/validation_lm.csv","experiment","ASSGAN","/scratch/bcastane_lab/eochoaal/first_year_exam/data/test_lm.csv","/scratch/bcastane_lab/eochoaal/first_year_exam/data/train_lm.csv","deeplabv3plus","pspnet","false","resnet34","resnet34","[0.9,0.9]","true","128","4","max","valid_dataset_iou","20","400","0.5","0.01","0.001","0.1","0.1","1","0.1","0.0001","0.0001","0.9","false","2024","/scratch/bcastane_lab/eochoaal/first_year_exam/results/experiment/experiment_uncorrected_lm_r1_gt0.5","/scratch/bcastane_lab/eochoaal/first_year_exam/results","ddp_find_unused_parameters_true","200","0.0001","8","400","0.9403598308563232","0.7617939710617065","0.6186351776123047","0.940359890460968","0.6958339214324951","0.5988143682479858","0.4349398612976074","0.026225343346595764","400","0.935071349143982","0.7601820826530457","0.6170459389686584","0.935071349143982","0.7490782737731934","0.6335996389389038"
"experiment_uncorrected_lm_r1_gt0.2","finished","-","","","2025-05-19T05:44:37.000Z","1083","","false","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_uncorrected","/scratch/bcastane_lab/eochoaal/first_year_exam/data/validation_lm.csv","experiment","ASSGAN","/scratch/bcastane_lab/eochoaal/first_year_exam/data/test_lm.csv","/scratch/bcastane_lab/eochoaal/first_year_exam/data/train_lm.csv","deeplabv3plus","pspnet","false","resnet34","resnet34","[0.9,0.9]","true","128","4","max","valid_dataset_iou","20","400","0.2","0.01","0.001","0.1","0.1","1","0.1","0.0001","0.0001","0.9","false","2024","/scratch/bcastane_lab/eochoaal/first_year_exam/results/experiment/experiment_uncorrected_lm_r1_gt0.2","/scratch/bcastane_lab/eochoaal/first_year_exam/results","ddp_find_unused_parameters_true","200","0.0001","8","400","0.8819912075996399","0.6462734341621399","0.48196208477020264","0.8819912672042847","0.6069822907447815","0.5139862298965454","0.3551430106163025","NaN","400","0.8559931516647339","0.629453182220459","0.4662443995475769","0.8559930324554443","0.6540420055389404","0.5427603721618652"
"experiment_uncorrected_lb_r1_gt0.8","finished","-","","","2025-05-19T05:25:47.000Z","1078","","false","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_uncorrected","/scratch/bcastane_lab/eochoaal/first_year_exam/data/validation_lb.csv","experiment","ASSGAN","/scratch/bcastane_lab/eochoaal/first_year_exam/data/test_lb.csv","/scratch/bcastane_lab/eochoaal/first_year_exam/data/train_lb.csv","deeplabv3plus","pspnet","false","resnet34","resnet34","[0.9,0.9]","true","128","4","max","valid_dataset_iou","20","400","0.8","0.01","0.001","0.1","0.1","1","0.1","0.0001","0.0001","0.9","false","2024","/scratch/bcastane_lab/eochoaal/first_year_exam/results/experiment/experiment_uncorrected_lb_r1_gt0.8","/scratch/bcastane_lab/eochoaal/first_year_exam/results","ddp_find_unused_parameters_true","200","0.0001","8","400","0.9728823900222778","0.7521370649337769","0.6095989346504211","0.9728823900222778","0.7174217104911804","0.6200809478759766","0.32109662890434265","NaN","400","0.9517756700515748","0.6422268152236938","0.4859968721866608","0.9517757296562196","0.5976657271385193","0.5276539325714111"
"experiment_uncorrected_lb_r1_gt0.5","finished","-","","","2025-05-19T05:06:51.000Z","1076","","false","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_uncorrected","/scratch/bcastane_lab/eochoaal/first_year_exam/data/validation_lb.csv","experiment","ASSGAN","/scratch/bcastane_lab/eochoaal/first_year_exam/data/test_lb.csv","/scratch/bcastane_lab/eochoaal/first_year_exam/data/train_lb.csv","deeplabv3plus","pspnet","false","resnet34","resnet34","[0.9,0.9]","true","128","4","max","valid_dataset_iou","20","400","0.5","0.01","0.001","0.1","0.1","1","0.1","0.0001","0.0001","0.9","false","2024","/scratch/bcastane_lab/eochoaal/first_year_exam/results/experiment/experiment_uncorrected_lb_r1_gt0.5","/scratch/bcastane_lab/eochoaal/first_year_exam/results","ddp_find_unused_parameters_true","200","0.0001","8","400","0.9616575241088868","0.7096415758132935","0.5577443838119507","0.9616575241088868","0.6830548048019409","0.5906899571418762","0.31314367055892944","NaN","400","0.9459761381149292","0.6451634168624878","0.4933270812034607","0.945976197719574","0.6216008067131042","0.5552188158035278"
"experiment_uncorrected_lb_r1_gt0.2","finished","-","","","2025-05-19T04:47:47.000Z","1081","","false","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_uncorrected","/scratch/bcastane_lab/eochoaal/first_year_exam/data/validation_lb.csv","experiment","ASSGAN","/scratch/bcastane_lab/eochoaal/first_year_exam/data/test_lb.csv","/scratch/bcastane_lab/eochoaal/first_year_exam/data/train_lb.csv","deeplabv3plus","pspnet","false","resnet34","resnet34","[0.9,0.9]","true","128","4","max","valid_dataset_iou","20","400","0.2","0.01","0.001","0.1","0.1","1","0.1","0.0001","0.0001","0.9","false","2024","/scratch/bcastane_lab/eochoaal/first_year_exam/results/experiment/experiment_uncorrected_lb_r1_gt0.2","/scratch/bcastane_lab/eochoaal/first_year_exam/results","ddp_find_unused_parameters_true","200","0.0001","8","400","0.9218120574951172","0.5478825569152832","0.3889487385749817","0.9218121767044068","0.6053805947303772","0.5192774534225464","0.34662848711013794","0.026916135102510452","400","0.8867125511169434","0.4921166896820069","0.3439576029777527","0.8867125511169434","0.5235705375671387","0.4553361237049103"
"experiment_uncorrected_nl_r1_gt0.8","finished","-","","","2025-05-19T04:28:33.000Z","1095","","false","/scratch/bcastane_lab/eochoaal/first_year_exam/data/data_uncorrected","/scratch/bcastane_lab/eochoaal/first_year_exam/data/validation_nl.csv","experiment","ASSGAN","/scratch/bcastane_lab/eochoaal/first_year_exam/data/test_nl.csv","/scratch/bcastane_lab/eochoaal/first_year_exam/data/train_nl.csv","deeplabv3plus","pspnet","false","resnet34","resnet34","[0.9,0.9]","true","128","4","max","valid_dataset_iou","20","400","0.8","0.01","0.001","0.1","0.1","1","0.1","0.0001","0.0001","0.9","false","2024","/scratch/bcastane_lab/eochoaal/first_year_exam/results/experiment/experiment_uncorrected_nl_r1_gt0.8","/scratch/bcastane_lab/eochoaal/first_year_exam/results","ddp_find_unused_parameters_true","200","0.0001","8","400","0.9200704097747804","0.5690197944641113","0.4120238423347473","0.9200704097747804","0.5485820770263672","0.4464499354362488","0.3472170829772949","NaN","400","0.9453741312026978","0.6714540719985962","0.510269045829773","0.9453741312026978","0.6243419051170349","0.5060144066810608"
