"epoch","_data_corrected_wo_annotation_r1_gt0.5 - _step","_data_corrected_wo_annotation_r1_gt0.5 - _step__MIN","_data_corrected_wo_annotation_r1_gt0.5 - _step__MAX","_data_corrected_wo_annotation_r1_gt0.5 - valid_dataset_iou","_data_corrected_wo_annotation_r1_gt0.5 - valid_dataset_iou__MIN","_data_corrected_wo_annotation_r1_gt0.5 - valid_dataset_iou__MAX","_data_uncorrected_r1_gt0.8 - _step","_data_uncorrected_r1_gt0.8 - _step__MIN","_data_uncorrected_r1_gt0.8 - _step__MAX","_data_uncorrected_r1_gt0.8 - valid_dataset_iou","_data_uncorrected_r1_gt0.8 - valid_dataset_iou__MIN","_data_uncorrected_r1_gt0.8 - valid_dataset_iou__MAX","_data_uncorrected_r1_gt0.5 - _step","_data_uncorrected_r1_gt0.5 - _step__MIN","_data_uncorrected_r1_gt0.5 - _step__MAX","_data_uncorrected_r1_gt0.5 - valid_dataset_iou","_data_uncorrected_r1_gt0.5 - valid_dataset_iou__MIN","_data_uncorrected_r1_gt0.5 - valid_dataset_iou__MAX","_data_uncorrected_r1_gt0.2 - _step","_data_uncorrected_r1_gt0.2 - _step__MIN","_data_uncorrected_r1_gt0.2 - _step__MAX","_data_uncorrected_r1_gt0.2 - valid_dataset_iou","_data_uncorrected_r1_gt0.2 - valid_dataset_iou__MIN","_data_uncorrected_r1_gt0.2 - valid_dataset_iou__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0"
"2","2","2","2","0","0","0","2","2","2","0","0","0","2","2","2","0","0","0","2","2","2","0","0","0"
"3","3","3","3","0","0","0","3","3","3","0","0","0","3","3","3","0","0","0","3","3","3","0","0","0"
"4","4","4","4","0","0","0","4","4","4","0.0000027707737899618223","0.0000027707737899618223","0.0000027707737899618223","4","4","4","0.0000027707737899618223","0.0000027707737899618223","0.0000027707737899618223","4","4","4","0.0000027707737899618223","0.0000027707737899618223","0.0000027707737899618223"
"5","5","5","5","0","0","0","5","5","5","0.0000041561606849427335","0.0000041561606849427335","0.0000041561606849427335","5","5","5","0.0000041561606849427335","0.0000041561606849427335","0.0000041561606849427335","5","5","5","0.0000041561606849427335","0.0000041561606849427335","0.0000041561606849427335"
"6","6","6","6","0","0","0","6","6","6","0.000015239256754284725","0.000015239256754284725","0.000015239256754284725","6","6","6","0.000015239256754284725","0.000015239256754284725","0.000015239256754284725","6","6","6","0.000015239256754284725","0.000015239256754284725","0.000015239256754284725"
"7","7","7","7","0","0","0","7","7","7","0.00003945348726119846","0.00003945348726119846","0.00003945348726119846","7","7","7","0.000044995034841122106","0.000044995034841122106","0.000044995034841122106","7","7","7","0.000035076442145509645","0.000035076442145509645","0.000035076442145509645"
"8","8","8","8","0","0","0","8","8","8","0.00014545777230523527","0.00014545777230523527","0.00014545777230523527","8","8","8","0.00013760197907686234","0.00013760197907686234","0.00013760197907686234","8","8","8","0.000132607645355165","0.000132607645355165","0.000132607645355165"
"9","9","9","9","0","0","0","9","9","9","0.0005288860993459821","0.0005288860993459821","0.0005288860993459821","9","9","9","0.0005277834716252983","0.0005277834716252983","0.0005277834716252983","9","9","9","0.0005978819099254906","0.0005978819099254906","0.0005978819099254906"
"10","10","10","10","0","0","0","10","10","10","0.002359675243496895","0.002359675243496895","0.002359675243496895","10","10","10","0.0020739901810884476","0.0020739901810884476","0.0020739901810884476","10","10","10","0.0028317670803517103","0.0028317670803517103","0.0028317670803517103"
"11","11","11","11","0.00024688601843081415","0.00024688601843081415","0.00024688601843081415","11","11","11","0.008306289091706276","0.008306289091706276","0.008306289091706276","11","11","11","0.006765685044229031","0.006765685044229031","0.006765685044229031","11","11","11","0.009511394426226616","0.009511394426226616","0.009511394426226616"
"12","12","12","12","0.0024498137645423412","0.0024498137645423412","0.0024498137645423412","12","12","12","0.019119950011372566","0.019119950011372566","0.019119950011372566","12","12","12","0.017629219219088554","0.017629219219088554","0.017629219219088554","12","12","12","0.0215440783649683","0.0215440783649683","0.0215440783649683"
"13","13","13","13","0.011107044294476509","0.011107044294476509","0.011107044294476509","13","13","13","0.03126095235347748","0.03126095235347748","0.03126095235347748","13","13","13","0.029726626351475716","0.029726626351475716","0.029726626351475716","13","13","13","0.03476841002702713","0.03476841002702713","0.03476841002702713"
"14","14","14","14","0.02689899504184723","0.02689899504184723","0.02689899504184723","14","14","14","0.04694132134318352","0.04694132134318352","0.04694132134318352","14","14","14","0.04801524057984352","0.04801524057984352","0.04801524057984352","14","14","14","0.050667259842157364","0.050667259842157364","0.050667259842157364"
"15","15","15","15","0.04949489235877991","0.04949489235877991","0.04949489235877991","15","15","15","0.06413812935352325","0.06413812935352325","0.06413812935352325","15","15","15","0.06800168752670288","0.06800168752670288","0.06800168752670288","15","15","15","0.06980717927217484","0.06980717927217484","0.06980717927217484"
"16","16","16","16","0.07876042276620865","0.07876042276620865","0.07876042276620865","16","16","16","0.08482515066862106","0.08482515066862106","0.08482515066862106","16","16","16","0.0895080715417862","0.0895080715417862","0.0895080715417862","16","16","16","0.09129615128040314","0.09129615128040314","0.09129615128040314"
"17","","","","","","","17","17","17","0.10474114865064621","0.10474114865064621","0.10474114865064621","17","17","17","0.10867186635732651","0.10867186635732651","0.10867186635732651","17","17","17","0.1096561923623085","0.1096561923623085","0.1096561923623085"
"18","","","","","","","18","18","18","0.127455472946167","0.127455472946167","0.127455472946167","18","18","18","0.12845967710018158","0.12845967710018158","0.12845967710018158","18","18","18","0.12874187529087067","0.12874187529087067","0.12874187529087067"
"19","","","","","","","19","19","19","0.1515013426542282","0.1515013426542282","0.1515013426542282","19","19","19","0.15048210322856903","0.15048210322856903","0.15048210322856903","19","19","19","0.15231981873512268","0.15231981873512268","0.15231981873512268"
"20","","","","","","","20","20","20","0.17877930402755737","0.17877930402755737","0.17877930402755737","20","20","20","0.18170127272605896","0.18170127272605896","0.18170127272605896","20","20","20","0.18340076506137848","0.18340076506137848","0.18340076506137848"
"21","","","","","","","21","21","21","0.21718262135982513","0.21718262135982513","0.21718262135982513","21","21","21","0.22038604319095612","0.22038604319095612","0.22038604319095612","21","21","21","0.22347624599933624","0.22347624599933624","0.22347624599933624"
"22","","","","","","","22","22","22","0.25787782669067383","0.25787782669067383","0.25787782669067383","22","22","22","0.25842392444610596","0.25842392444610596","0.25842392444610596","22","22","22","0.2645736038684845","0.2645736038684845","0.2645736038684845"
"23","","","","","","","23","23","23","0.2926643490791321","0.2926643490791321","0.2926643490791321","23","23","23","0.2914269268512726","0.2914269268512726","0.2914269268512726","23","23","23","0.3036842346191406","0.3036842346191406","0.3036842346191406"
"24","","","","","","","24","24","24","0.32481086254119873","0.32481086254119873","0.32481086254119873","24","24","24","0.3227974772453308","0.3227974772453308","0.3227974772453308","24","24","24","0.33510953187942505","0.33510953187942505","0.33510953187942505"
"25","","","","","","","25","25","25","0.34876686334609985","0.34876686334609985","0.34876686334609985","25","25","25","0.3431781530380249","0.3431781530380249","0.3431781530380249","25","25","25","0.35305166244506836","0.35305166244506836","0.35305166244506836"
"26","","","","","","","26","26","26","0.36980554461479187","0.36980554461479187","0.36980554461479187","26","26","26","0.36725491285324097","0.36725491285324097","0.36725491285324097","26","26","26","0.37679457664489746","0.37679457664489746","0.37679457664489746"
"27","","","","","","","27","27","27","0.37466689944267273","0.37466689944267273","0.37466689944267273","27","27","27","0.3740885555744171","0.3740885555744171","0.3740885555744171","27","27","27","0.3821529746055603","0.3821529746055603","0.3821529746055603"
"28","","","","","","","28","28","28","0.38644060492515564","0.38644060492515564","0.38644060492515564","28","28","28","0.3797301650047302","0.3797301650047302","0.3797301650047302","28","28","28","0.38764846324920654","0.38764846324920654","0.38764846324920654"
"29","","","","","","","29","29","29","0.4007638692855835","0.4007638692855835","0.4007638692855835","29","29","29","0.3900008797645569","0.3900008797645569","0.3900008797645569","29","29","29","0.3979295492172241","0.3979295492172241","0.3979295492172241"
"30","","","","","","","30","30","30","0.4177531599998474","0.4177531599998474","0.4177531599998474","30","30","30","0.4016605317592621","0.4016605317592621","0.4016605317592621","30","30","30","0.4098701477050781","0.4098701477050781","0.4098701477050781"
"31","","","","","","","31","31","31","0.42825376987457275","0.42825376987457275","0.42825376987457275","31","31","31","0.4089873433113098","0.4089873433113098","0.4089873433113098","31","31","31","0.4236520230770111","0.4236520230770111","0.4236520230770111"
"32","","","","","","","32","32","32","0.4339664876461029","0.4339664876461029","0.4339664876461029","32","32","32","0.4085192084312439","0.4085192084312439","0.4085192084312439","32","32","32","0.42762863636016846","0.42762863636016846","0.42762863636016846"
"33","","","","","","","33","33","33","0.43861499428749084","0.43861499428749084","0.43861499428749084","33","33","33","0.42236873507499695","0.42236873507499695","0.42236873507499695","33","33","33","0.4341539144515991","0.4341539144515991","0.4341539144515991"
"34","","","","","","","34","34","34","0.44377487897872925","0.44377487897872925","0.44377487897872925","34","34","34","0.4346168637275696","0.4346168637275696","0.4346168637275696","34","34","34","0.4425360858440399","0.4425360858440399","0.4425360858440399"
"35","","","","","","","35","35","35","0.4507351219654083","0.4507351219654083","0.4507351219654083","35","35","35","0.44681835174560547","0.44681835174560547","0.44681835174560547","35","35","35","0.4501151740550995","0.4501151740550995","0.4501151740550995"
"36","","","","","","","36","36","36","0.451946496963501","0.451946496963501","0.451946496963501","36","36","36","0.44837141036987305","0.44837141036987305","0.44837141036987305","36","36","36","0.45109155774116516","0.45109155774116516","0.45109155774116516"
"37","","","","","","","37","37","37","0.4542967677116394","0.4542967677116394","0.4542967677116394","37","37","37","0.44924426078796387","0.44924426078796387","0.44924426078796387","37","37","37","0.45228874683380127","0.45228874683380127","0.45228874683380127"
"38","","","","","","","38","38","38","0.4491473138332367","0.4491473138332367","0.4491473138332367","38","38","38","0.441303014755249","0.441303014755249","0.441303014755249","38","38","38","0.4471486806869507","0.4471486806869507","0.4471486806869507"
"39","","","","","","","39","39","39","0.435025155544281","0.435025155544281","0.435025155544281","39","39","39","0.424713134765625","0.424713134765625","0.424713134765625","39","39","39","0.4348021447658539","0.4348021447658539","0.4348021447658539"
"40","","","","","","","40","40","40","0.42574286460876465","0.42574286460876465","0.42574286460876465","40","40","40","0.41056519746780396","0.41056519746780396","0.41056519746780396","40","40","40","0.4243278503417969","0.4243278503417969","0.4243278503417969"
"41","","","","","","","41","41","41","0.4155702292919159","0.4155702292919159","0.4155702292919159","41","41","41","0.404978483915329","0.404978483915329","0.404978483915329","41","41","41","0.4166519343852997","0.4166519343852997","0.4166519343852997"
"42","","","","","","","42","42","42","0.39792898297309875","0.39792898297309875","0.39792898297309875","42","42","42","0.39356163144111633","0.39356163144111633","0.39356163144111633","42","42","42","0.40289106965065","0.40289106965065","0.40289106965065"
"43","","","","","","","43","43","43","0.38951680064201355","0.38951680064201355","0.38951680064201355","43","43","43","0.38956382870674133","0.38956382870674133","0.38956382870674133","43","43","43","0.3903014659881592","0.3903014659881592","0.3903014659881592"
"44","","","","","","","44","44","44","0.3823533058166504","0.3823533058166504","0.3823533058166504","44","44","44","0.38442546129226685","0.38442546129226685","0.38442546129226685","44","44","44","0.38721394538879395","0.38721394538879395","0.38721394538879395"
"45","","","","","","","45","45","45","0.36590638756752014","0.36590638756752014","0.36590638756752014","45","45","45","0.3759351372718811","0.3759351372718811","0.3759351372718811","45","45","45","0.37533554434776306","0.37533554434776306","0.37533554434776306"
"46","","","","","","","46","46","46","0.36181026697158813","0.36181026697158813","0.36181026697158813","46","46","46","0.3769214451313019","0.3769214451313019","0.3769214451313019","46","46","46","0.3714599013328552","0.3714599013328552","0.3714599013328552"
"47","","","","","","","47","47","47","0.36986804008483887","0.36986804008483887","0.36986804008483887","47","47","47","0.3871363699436188","0.3871363699436188","0.3871363699436188","47","47","47","0.37640371918678284","0.37640371918678284","0.37640371918678284"
"48","","","","","","","48","48","48","0.3702460825443268","0.3702460825443268","0.3702460825443268","48","48","48","0.3789999485015869","0.3789999485015869","0.3789999485015869","48","48","48","0.3709225356578827","0.3709225356578827","0.3709225356578827"
"49","","","","","","","50","50","50","0.36668404936790466","0.36668404936790466","0.36668404936790466","50","50","50","0.371254563331604","0.371254563331604","0.371254563331604","50","50","50","0.3623902499675751","0.3623902499675751","0.3623902499675751"
"50","","","","","","","51","51","51","0.36387836933135986","0.36387836933135986","0.36387836933135986","51","51","51","0.37537574768066406","0.37537574768066406","0.37537574768066406","51","51","51","0.36371782422065735","0.36371782422065735","0.36371782422065735"
"51","","","","","","","52","52","52","0.3785821795463562","0.3785821795463562","0.3785821795463562","52","52","52","0.38917189836502075","0.38917189836502075","0.38917189836502075","52","52","52","0.37243175506591797","0.37243175506591797","0.37243175506591797"
"52","","","","","","","53","53","53","0.3633299171924591","0.3633299171924591","0.3633299171924591","53","53","53","0.37957340478897095","0.37957340478897095","0.37957340478897095","53","53","53","0.35892453789711","0.35892453789711","0.35892453789711"
"53","","","","","","","54","54","54","0.3480154573917389","0.3480154573917389","0.3480154573917389","54","54","54","0.36429363489151","0.36429363489151","0.36429363489151","54","54","54","0.34637266397476196","0.34637266397476196","0.34637266397476196"
"54","","","","","","","55","55","55","0.34073954820632935","0.34073954820632935","0.34073954820632935","55","55","55","0.3644102215766907","0.3644102215766907","0.3644102215766907","55","55","55","0.3336852788925171","0.3336852788925171","0.3336852788925171"
"55","","","","","","","56","56","56","0.3364779055118561","0.3364779055118561","0.3364779055118561","56","56","56","0.36658328771591187","0.36658328771591187","0.36658328771591187","56","56","56","0.3294448256492615","0.3294448256492615","0.3294448256492615"
"56","","","","","","","57","57","57","0.316389262676239","0.316389262676239","0.316389262676239","57","57","57","0.3545568585395813","0.3545568585395813","0.3545568585395813","57","57","57","0.3224296569824219","0.3224296569824219","0.3224296569824219"
"57","","","","","","","58","58","58","0.2991388440132141","0.2991388440132141","0.2991388440132141","58","58","58","0.342679888010025","0.342679888010025","0.342679888010025","58","58","58","0.3109295964241028","0.3109295964241028","0.3109295964241028"
"58","","","","","","","59","59","59","0.2747669517993927","0.2747669517993927","0.2747669517993927","59","59","59","0.32402023673057556","0.32402023673057556","0.32402023673057556","59","59","59","0.2932053804397583","0.2932053804397583","0.2932053804397583"
"59","","","","","","","60","60","60","0.26964741945266724","0.26964741945266724","0.26964741945266724","60","60","60","0.31239834427833557","0.31239834427833557","0.31239834427833557","60","60","60","0.28380998969078064","0.28380998969078064","0.28380998969078064"
"60","","","","","","","61","61","61","0.2743375897407532","0.2743375897407532","0.2743375897407532","61","61","61","0.3074953556060791","0.3074953556060791","0.3074953556060791","61","61","61","0.28582537174224854","0.28582537174224854","0.28582537174224854"
"61","","","","","","","62","62","62","0.2833632230758667","0.2833632230758667","0.2833632230758667","62","62","62","0.3085446357727051","0.3085446357727051","0.3085446357727051","62","62","62","0.28778475522994995","0.28778475522994995","0.28778475522994995"
"62","","","","","","","63","63","63","0.29405301809310913","0.29405301809310913","0.29405301809310913","63","63","63","0.323121041059494","0.323121041059494","0.323121041059494","63","63","63","0.30025383830070496","0.30025383830070496","0.30025383830070496"
"63","","","","","","","64","64","64","0.30267199873924255","0.30267199873924255","0.30267199873924255","64","64","64","0.3342607319355011","0.3342607319355011","0.3342607319355011","64","64","64","0.3137003183364868","0.3137003183364868","0.3137003183364868"
"64","","","","","","","65","65","65","0.3039569854736328","0.3039569854736328","0.3039569854736328","65","65","65","0.34255537390708923","0.34255537390708923","0.34255537390708923","65","65","65","0.31273120641708374","0.31273120641708374","0.31273120641708374"
"65","","","","","","","66","66","66","0.30972376465797424","0.30972376465797424","0.30972376465797424","66","66","66","0.3469063341617584","0.3469063341617584","0.3469063341617584","66","66","66","0.3272709846496582","0.3272709846496582","0.3272709846496582"
"66","","","","","","","67","67","67","0.32242074608802795","0.32242074608802795","0.32242074608802795","67","67","67","0.35234323143959045","0.35234323143959045","0.35234323143959045","67","67","67","0.338549941778183","0.338549941778183","0.338549941778183"
"67","","","","","","","68","68","68","0.3381006121635437","0.3381006121635437","0.3381006121635437","68","68","68","0.35482996702194214","0.35482996702194214","0.35482996702194214","68","68","68","0.346397340297699","0.346397340297699","0.346397340297699"
"68","","","","","","","69","69","69","0.34090811014175415","0.34090811014175415","0.34090811014175415","69","69","69","0.34717312455177307","0.34717312455177307","0.34717312455177307","69","69","69","0.3487403392791748","0.3487403392791748","0.3487403392791748"
