"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset.cache_data","dataset.data_dir","dataset.dev","dataset.experiment","dataset.patch_overlap","dataset.patch_size","dataset.project","dataset.queue_length","dataset.rescale_factor","dataset.samples_per_volume","dataset.test","dataset.train","dataset.unlabeled_dataset","dataset.use_patches","model_opts.arch","model_opts.args.arch","model_opts.args.classification_loss","model_opts.args.encoder_name","model_opts.args.encoder_weights","model_opts.args.inchannels","model_opts.args.net_depth","model_opts.args.outchannels","model_opts.name","train_par.batch_size","train_par.devices","train_par.early_stopping_flag","train_par.epochs","train_par.eval_threshold","train_par.gpu_to_use","train_par.loss_opts.args.alpha","train_par.loss_opts.args.gamma","train_par.loss_opts.args.weight","train_par.loss_opts.name","train_par.lr","train_par.num_classes","train_par.optimizer.name","train_par.patience","train_par.profiler","train_par.random_seed","train_par.results_model_filename","train_par.results_path","train_par.scheduler.name","train_par.strategy","train_par.weight_decay","train_par.workers","train_par.loss_opts.args.beta","train_par.loss_opts.args.gamma_class","train_par.loss_opts.args.gamma_close","train_par.loss_opts.args.gamma_mom","train_par.loss_opts.args.gamma_round","train_par.loss_opts.args.gamma_topo","epoch","test_dataset_acc","test_dataset_f1","test_dataset_iou","test_per_image_acc","test_per_image_f1","test_per_image_iou","train_dataset_acc","train_dataset_f1","train_dataset_iou","train_per_image_acc","train_per_image_f1","train_per_image_iou","trainer/global_step","valid_dataset_acc","valid_dataset_f1","valid_dataset_iou","valid_per_image_acc","valid_per_image_f1","valid_per_image_iou","test_acc_clas","test_loss_mom","test_loss_round","train_acc_clas","train_loss_mom","train_loss_round","valid_acc_clas","valid_loss_mom","valid_loss_round"
"experiment1_uncorrected_lm_r3_unetplusplus","finished","-","","","2025-05-19T05:53:37.000Z","265","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","experiment1","0","64","NETs","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","false","false","unetplusplus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lm_r3_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","","","","","","","96","0.9762483835220336","0.9159942269325256","0.8453013896942139","0.9762484431266784","0.8451550006866455","0.7826281785964966","0.996612012386322","0.9816615581512452","0.9639838933944702","0.9966120719909668","0.9656716585159302","0.9416161179542542","480","0.9927397966384888","0.973718285560608","0.9489494562149048","0.9927397966384888","0.9665160179138184","0.9404160976409912","","","","","","","","",""
"experiment1_uncorrected_lb_r3_unetplusplus","finished","-","","","2025-05-19T05:49:15.000Z","250","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","experiment1","0","64","NETs","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","false","false","unetplusplus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lb_r3_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","","","","","","","93","0.9827287197113036","0.848225474357605","0.7374457120895386","0.9827287197113036","0.7541133761405945","0.6586629152297974","0.9953280687332152","0.9759340882301332","0.952999234199524","0.99532812833786","0.9521466493606568","0.9250549077987672","465","0.9670456647872924","0.7897446751594543","0.6532304286956787","0.9670456647872924","0.7530403137207031","0.6697942018508911","","","","","","","","",""
"experiment1_uncorrected_nl_r3_unetplusplus","finished","-","","","2025-05-19T05:46:58.000Z","125","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_nl.csv","experiment1","0","64","NETs","100","128","10","/data/GitHub/first_year_exam/data/test_nl.csv","/data/GitHub/first_year_exam/data/train_nl.csv","false","false","unetplusplus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_nl_r3_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","","","","","","","42","0.9221628904342652","0.6163164377212524","0.4454251527786255","0.9221628904342652","0.5918718576431274","0.4845552742481232","0.990972638130188","0.9506428241729736","0.9059412479400636","0.9909725785255432","0.9148743152618408","0.8645473718643188","210","0.9462991952896118","0.6866035461425781","0.5266536474227905","0.9462991952896118","0.6581275463104248","0.5382070541381836","","","","","","","","",""
"experiment1_uncorrected_l_r3_unetplusplus","finished","-","","","2025-05-19T05:44:32.000Z","135","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_l.csv","experiment1","0","64","NETs","100","128","10","/data/GitHub/first_year_exam/data/test_l.csv","/data/GitHub/first_year_exam/data/train_l.csv","false","false","unetplusplus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_l_r3_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","","","","","","","46","0.9723447561264038","0.7907095551490784","0.6539725065231323","0.972344696521759","0.7511526346206665","0.656853437423706","0.9919793605804444","0.9573789238929749","0.9182449579238892","0.9919793605804444","0.9154064655303956","0.8736419677734375","230","0.9654788970947266","0.8160336017608643","0.6895233988761902","0.9654788970947266","0.7188031673431396","0.6413501501083374","","","","","","","","",""
"experiment1_uncorrected_lm_r2_unetplusplus","finished","-","","","2025-05-19T05:37:10.000Z","430","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","experiment1","0","64","NETs","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","false","false","unetplusplus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lm_r2_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","","","","","","","161","0.9763236045837402","0.917048454284668","0.8469735383987427","0.9763236045837402","0.8399977684020996","0.783794105052948","0.9975547194480896","0.9867328405380248","0.973819136619568","0.9975547194480896","0.9752145409584044","0.9577972292900084","805","0.9943232536315918","0.9792566299438475","0.9595234394073486","0.9943232536315918","0.9741928577423096","0.9550443887710572","","","","","","","","",""
"experiment1_uncorrected_lb_r2_unetplusplus","finished","-","","","2025-05-19T05:34:56.000Z","122","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","experiment1","0","64","NETs","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","false","false","unetplusplus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lb_r2_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","","","","","","","41","0.982915997505188","0.8531378507614136","0.7461970448493958","0.982915997505188","0.7821686267852783","0.6912723183631897","0.988449215888977","0.9398254156112672","0.886532723903656","0.988449215888977","0.8958518505096436","0.8400543332099915","205","0.9609142541885376","0.7485940456390381","0.5997322797775269","0.9609142541885376","0.7035084962844849","0.6159762144088745","","","","","","","","",""
"experiment1_uncorrected_nl_r2_unetplusplus","finished","-","","","2025-05-19T05:32:47.000Z","117","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_nl.csv","experiment1","0","64","NETs","100","128","10","/data/GitHub/first_year_exam/data/test_nl.csv","/data/GitHub/first_year_exam/data/train_nl.csv","false","false","unetplusplus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_nl_r2_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","","","","","","","40","0.9208017587661744","0.5840051174163818","0.41243645548820496","0.9208017587661744","0.5495182275772095","0.4451296329498291","0.9902489185333252","0.9464740753173828","0.8984063863754272","0.9902489185333252","0.903016209602356","0.8534741401672363","200","0.9474118947982788","0.6765785217285156","0.5146421790122986","0.9474118947982788","0.6386208534240723","0.5296074151992798","","","","","","","","",""
"experiment1_uncorrected_l_r2_unetplusplus","finished","-","","","2025-05-19T05:29:56.000Z","159","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_l.csv","experiment1","0","64","NETs","100","128","10","/data/GitHub/first_year_exam/data/test_l.csv","/data/GitHub/first_year_exam/data/train_l.csv","false","false","unetplusplus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_l_r2_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","","","","","","","56","0.9717611074447632","0.7827402949333191","0.6431301832199097","0.9717611074447632","0.7647212743759155","0.6740289926528931","0.9936390519142152","0.9662354588508606","0.9347038269042968","0.9936390519142152","0.937578558921814","0.9006867408752441","280","0.9672275185585022","0.8217127323150635","0.6985650062561035","0.9672275185585022","0.731065034866333","0.6614471673965454","","","","","","","","",""
"experiment1_uncorrected_lm_r1_unetplusplus","finished","-","","","2025-05-19T05:24:01.000Z","343","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","experiment1","0","64","NETs","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","false","false","unetplusplus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lm_r1_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","","","","","","","127","0.976135551929474","0.915252685546875","0.8439978361129761","0.9761354923248292","0.8376046419143677","0.7799130082130432","0.9973187446594238","0.9854470491409302","0.9713189601898192","0.9973187446594238","0.9708439111709596","0.9523855447769164","635","0.993488311767578","0.9762280583381652","0.9537215828895568","0.9934882521629332","0.9692887663841248","0.9465381503105164","","","","","","","","",""
"experiment1_uncorrected_lb_r1_unetplusplus","finished","-","","","2025-05-19T05:21:07.000Z","163","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","experiment1","0","64","NETs","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","false","false","unetplusplus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lb_r1_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","","","","","","","58","0.9863668084144592","0.8738644123077393","0.7775512933731079","0.9863667488098145","0.8167127966880798","0.7370554804801941","0.9894476532936096","0.946060836315155","0.8976733684539795","0.9894475936889648","0.910216748714447","0.8581331968307495","290","0.963680624961853","0.7396516799926758","0.5908411145210266","0.963680624961853","0.7233443260192871","0.6450530886650085","","","","","","","","",""
