"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset.cache_data","dataset.data_dir","dataset.dev","dataset.experiment","dataset.patch_overlap","dataset.patch_size","dataset.project","dataset.queue_length","dataset.rescale_factor","dataset.samples_per_volume","dataset.test","dataset.train","dataset.unlabeled_dataset","dataset.use_patches","model_opts.arch","model_opts.args.arch","model_opts.args.binary_split","model_opts.args.classification_loss","model_opts.args.encoder_name","model_opts.args.encoder_weights","model_opts.args.inchannels","model_opts.args.net_depth","model_opts.args.outchannels","model_opts.name","train_par.batch_size","train_par.devices","train_par.early_stopping_flag","train_par.epochs","train_par.eval_threshold","train_par.gpu_to_use","train_par.loss_opts.args.alpha","train_par.loss_opts.args.beta","train_par.loss_opts.args.gamma","train_par.loss_opts.args.gamma_class","train_par.loss_opts.args.gamma_close","train_par.loss_opts.args.gamma_mom","train_par.loss_opts.args.gamma_round","train_par.loss_opts.args.gamma_topo","train_par.loss_opts.args.weight","train_par.loss_opts.name","train_par.lr","train_par.num_classes","train_par.optimizer.name","train_par.patience","train_par.profiler","train_par.random_seed","train_par.results_model_filename","train_par.results_path","train_par.scheduler.name","train_par.strategy","train_par.weight_decay","train_par.workers","epoch","test_dataset_acc","test_dataset_acc_benign","test_dataset_acc_malignant","test_dataset_f1","test_dataset_f1_benign","test_dataset_f1_malignant","test_dataset_iou","test_dataset_iou_benign","test_dataset_iou_malignant","test_per_image_acc","test_per_image_acc_benign","test_per_image_acc_malignant","test_per_image_f1","test_per_image_f1_benign","test_per_image_f1_malignant","test_per_image_iou","test_per_image_iou_benign","test_per_image_iou_malignant","train_dataset_acc","train_dataset_acc_benign","train_dataset_acc_malignant","train_dataset_f1","train_dataset_f1_benign","train_dataset_f1_malignant","train_dataset_iou","train_dataset_iou_benign","train_dataset_iou_malignant","train_per_image_acc","train_per_image_acc_benign","train_per_image_acc_malignant","train_per_image_f1","train_per_image_f1_benign","train_per_image_f1_malignant","train_per_image_iou","train_per_image_iou_benign","train_per_image_iou_malignant","trainer/global_step","valid_dataset_acc","valid_dataset_acc_benign","valid_dataset_acc_malignant","valid_dataset_f1","valid_dataset_f1_benign","valid_dataset_f1_malignant","valid_dataset_iou","valid_dataset_iou_benign","valid_dataset_iou_malignant","valid_per_image_acc","valid_per_image_acc_benign","valid_per_image_acc_malignant","valid_per_image_f1","valid_per_image_f1_benign","valid_per_image_f1_malignant","valid_per_image_iou","valid_per_image_iou_benign","valid_per_image_iou_malignant"
"_uncorrected_lm_r3_deeplabv3plus","finished","-","","","2025-05-21T21:51:02.000Z","166","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","false","false","deeplabv3plus","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r3_deeplabv3plus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","58","0.928598403930664","","","0.7329182624816895","","","0.5790508985519409","","","0.928598403930664","","","0.6916587352752686","","","0.5716639161109924","","","0.9945064783096312","","","0.9668023586273192","","","0.9357401132583618","","","0.9945063591003418","","","0.9404884576797484","","","0.9022202491760254","","","290","0.9039719104766846","","","0.6137468814849854","","","0.44273972511291504","","","0.9039719104766846","","","0.5889776349067688","","","0.4577131867408752","",""
"_uncorrected_lm_r3_unet","finished","-","","","2025-05-21T21:47:32.000Z","198","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","false","false","unet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r3_unet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","71","0.926740825176239","","","0.7053835391998291","","","0.5458946228027344","","","0.9267407655715942","","","0.667608380317688","","","0.5476469993591309","","","0.9950612783432008","","","0.9703372716903688","","","0.9423922300338744","","","0.9950612783432008","","","0.9432311058044434","","","0.9087426662445068","","","355","0.9016058444976808","","","0.575802743434906","","","0.4047800302505493","","","0.9016058444976808","","","0.5618923902511597","","","0.4327436685562134","",""
"_uncorrected_lm_r3_unetplusplus","finished","-","","","2025-05-21T21:43:09.000Z","252","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","false","false","unetplusplus","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r3_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","91","0.9296500086784364","","","0.7217572927474976","","","0.5657191276550293","","","0.9296499490737916","","","0.6867855787277222","","","0.5688927173614502","","","0.9967365860939026","","","0.9800820350646972","","","0.9609733819961548","","","0.9967365264892578","","","0.9592756032943726","","","0.9352118372917176","","","455","0.9105784893035888","","","0.6419172286987305","","","0.4726707637310028","","","0.9105784893035888","","","0.6058686375617981","","","0.48051705956459045","",""
"_uncorrected_lm_r3_manet","finished","-","","","2025-05-21T21:39:31.000Z","207","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","false","false","manet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r3_manet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","73","0.926020324230194","","","0.7108906507492065","","","0.5519739389419556","","","0.9260202646255492","","","0.6809386014938354","","","0.5627119541168213","","","0.994965434074402","","","0.9692251086235046","","","0.9402888417243958","","","0.9949654936790466","","","0.9375934600830078","","","0.9051244258880616","","","365","0.9053325653076172","","","0.60761559009552","","","0.4365349411964417","","","0.9053325653076172","","","0.5680049657821655","","","0.45090413093566895","",""
"_uncorrected_lm_r3_pspnet","finished","-","","","2025-05-21T21:36:19.000Z","181","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","false","false","pspnet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r3_pspnet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","64","0.9334248304367064","","","0.7434157729148865","","","0.5924975872039795","","","0.9334247708320618","","","0.6892845630645752","","","0.5725809931755066","","","0.9949807524681092","","","0.969546914100647","","","0.9408952593803406","","","0.9949806928634644","","","0.9393470883369446","","","0.9058546423912048","","","320","0.907816767692566","","","0.6381126642227173","","","0.468550443649292","","","0.907816767692566","","","0.5855647921562195","","","0.4629969000816345","",""
"_uncorrected_lb_r3_deeplabv3plus","finished","-","","","2025-05-21T21:30:23.000Z","344","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","false","false","deeplabv3plus","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r3_deeplabv3plus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","127","0.9850828647613524","","","0.8661669492721558","","","0.7653474807739258","","","0.985082745552063","","","0.7717775106430054","","","0.6858522295951843","","","0.9968080520629884","","","0.9836300611495972","","","0.967788815498352","","","0.9968081712722778","","","0.9715582728385924","","","0.9486663341522216","","","635","0.9676613211631776","","","0.7853039503097534","","","0.6482058763504028","","","0.9676612615585328","","","0.7446878552436829","","","0.6656181812286377","",""
"_uncorrected_lb_r3_unet","finished","-","","","2025-05-21T21:25:29.000Z","283","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","false","false","unet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r3_unet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","103","0.9854885339736938","","","0.8687187433242798","","","0.7694315910339355","","","0.9854884147644044","","","0.7961664199829102","","","0.7110961675643921","","","0.996067762374878","","","0.9798777103424072","","","0.9605692625045776","","","0.9960677027702332","","","0.9645063281059264","","","0.940995454788208","","","515","0.9660822153091432","","","0.7642993927001953","","","0.6212884783744812","","","0.9660821557044984","","","0.732083261013031","","","0.657584547996521","",""
"_uncorrected_lb_r3_unetplusplus","finished","-","","","2025-05-21T21:19:05.000Z","373","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","false","false","unetplusplus","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r3_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","140","0.985674262046814","","","0.8699718713760376","","","0.7711535692214966","","","0.985674262046814","","","0.7983869314193726","","","0.7167590260505676","","","0.997050940990448","","","0.984866976737976","","","0.9701865911483764","","","0.9970508813858032","","","0.9743456244468688","","","0.9542731642723083","","","700","0.9679988622665404","","","0.7826372385025024","","","0.6447502374649048","","","0.967998743057251","","","0.7486760020256042","","","0.668315052986145","",""
"_uncorrected_lb_r3_manet","finished","-","","","2025-05-21T21:14:39.000Z","255","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","false","false","manet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r3_manet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","91","0.9864116907119752","","","0.8745558261871338","","","0.7785211801528931","","","0.9864116907119752","","","0.8048502206802368","","","0.7292497754096985","","","0.995491087436676","","","0.9766969084739684","","","0.9544832110404968","","","0.9954910278320312","","","0.9568501710891724","","","0.9322394132614136","","","455","0.966140866279602","","","0.7654378414154053","","","0.6207265853881836","","","0.9661408066749572","","","0.735798180103302","","","0.6617161631584167","",""
"_uncorrected_lb_r3_pspnet","finished","-","","","2025-05-21T21:08:59.000Z","329","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","false","false","pspnet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r3_pspnet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","121","0.9849706888198853","","","0.8632742166519165","","","0.7606712579727173","","","0.9849706888198853","","","0.7853269577026367","","","0.6989727020263672","","","0.9964333772659302","","","0.9817322492599488","","","0.964126467704773","","","0.9964333772659302","","","0.9701430797576904","","","0.9487675428390504","","","605","0.9663279056549072","","","0.7664779424667358","","","0.6255354881286621","","","0.9663279056549072","","","0.7370517253875732","","","0.6667047739028931","",""
