"epoch","_data_uncorrected_r1_deeplabv3plus - _step","_data_uncorrected_r1_deeplabv3plus - _step__MIN","_data_uncorrected_r1_deeplabv3plus - _step__MAX","_data_uncorrected_r1_deeplabv3plus - valid_dataset_iou","_data_uncorrected_r1_deeplabv3plus - valid_dataset_iou__MIN","_data_uncorrected_r1_deeplabv3plus - valid_dataset_iou__MAX","_data_uncorrected_r1_unet - _step","_data_uncorrected_r1_unet - _step__MIN","_data_uncorrected_r1_unet - _step__MAX","_data_uncorrected_r1_unet - valid_dataset_iou","_data_uncorrected_r1_unet - valid_dataset_iou__MIN","_data_uncorrected_r1_unet - valid_dataset_iou__MAX","_data_uncorrected_r1_unetplusplus - _step","_data_uncorrected_r1_unetplusplus - _step__MIN","_data_uncorrected_r1_unetplusplus - _step__MAX","_data_uncorrected_r1_unetplusplus - valid_dataset_iou","_data_uncorrected_r1_unetplusplus - valid_dataset_iou__MIN","_data_uncorrected_r1_unetplusplus - valid_dataset_iou__MAX","_data_uncorrected_r1_manet - _step","_data_uncorrected_r1_manet - _step__MIN","_data_uncorrected_r1_manet - _step__MAX","_data_uncorrected_r1_manet - valid_dataset_iou","_data_uncorrected_r1_manet - valid_dataset_iou__MIN","_data_uncorrected_r1_manet - valid_dataset_iou__MAX","_data_uncorrected_r1_pspnet - _step","_data_uncorrected_r1_pspnet - _step__MIN","_data_uncorrected_r1_pspnet - _step__MAX","_data_uncorrected_r1_pspnet - valid_dataset_iou","_data_uncorrected_r1_pspnet - valid_dataset_iou__MIN","_data_uncorrected_r1_pspnet - valid_dataset_iou__MAX"
"0","0","0","0","0.10933558642864227","0.10933558642864227","0.10933558642864227","0","0","0","0.10932835936546326","0.10932835936546326","0.10932835936546326","0","0","0","0.10933440178632736","0.10933440178632736","0.10933440178632736","0","0","0","0.10933089256286621","0.10933089256286621","0.10933089256286621","0","0","0","0.1093163713812828","0.1093163713812828","0.1093163713812828"
"1","2","2","2","0.1333218514919281","0.1333218514919281","0.1333218514919281","2","2","2","0.13270306587219238","0.13270306587219238","0.13270306587219238","2","2","2","0.13288024067878723","0.13288024067878723","0.13288024067878723","2","2","2","0.13260480761528015","0.13260480761528015","0.13260480761528015","2","2","2","0.1330350935459137","0.1330350935459137","0.1330350935459137"
"2","4","4","4","0.1463405340909958","0.1463405340909958","0.1463405340909958","4","4","4","0.14527177810668945","0.14527177810668945","0.14527177810668945","4","4","4","0.14518554508686066","0.14518554508686066","0.14518554508686066","4","4","4","0.14513975381851196","0.14513975381851196","0.14513975381851196","4","4","4","0.1462734490633011","0.1462734490633011","0.1462734490633011"
"3","6","6","6","0.15825727581977844","0.15825727581977844","0.15825727581977844","6","6","6","0.1598912477493286","0.1598912477493286","0.1598912477493286","6","6","6","0.15915052592754364","0.15915052592754364","0.15915052592754364","6","6","6","0.15832030773162842","0.15832030773162842","0.15832030773162842","6","6","6","0.1598033457994461","0.1598033457994461","0.1598033457994461"
"4","8","8","8","0.19369179010391235","0.19369179010391235","0.19369179010391235","8","8","8","0.19544966518878937","0.19544966518878937","0.19544966518878937","8","8","8","0.19411087036132812","0.19411087036132812","0.19411087036132812","8","8","8","0.19321712851524353","0.19321712851524353","0.19321712851524353","8","8","8","0.19810721278190613","0.19810721278190613","0.19810721278190613"
"5","10","10","10","0.24072498083114624","0.24072498083114624","0.24072498083114624","10","10","10","0.24613997340202332","0.24613997340202332","0.24613997340202332","10","10","10","0.2373986542224884","0.2373986542224884","0.2373986542224884","10","10","10","0.24098952114582062","0.24098952114582062","0.24098952114582062","10","10","10","0.24062055349349976","0.24062055349349976","0.24062055349349976"
"6","12","12","12","0.3198953866958618","0.3198953866958618","0.3198953866958618","12","12","12","0.28313785791397095","0.28313785791397095","0.28313785791397095","12","12","12","0.29521918296813965","0.29521918296813965","0.29521918296813965","12","12","12","0.30143457651138306","0.30143457651138306","0.30143457651138306","12","12","12","0.2950553297996521","0.2950553297996521","0.2950553297996521"
"7","14","14","14","0.28882575035095215","0.28882575035095215","0.28882575035095215","14","14","14","0.2733679413795471","0.2733679413795471","0.2733679413795471","14","14","14","0.2704002261161804","0.2704002261161804","0.2704002261161804","14","14","14","0.2819962501525879","0.2819962501525879","0.2819962501525879","14","14","14","0.2892645597457886","0.2892645597457886","0.2892645597457886"
"8","16","16","16","0.3139761686325073","0.3139761686325073","0.3139761686325073","16","16","16","0.3082308769226074","0.3082308769226074","0.3082308769226074","16","16","16","0.32052725553512573","0.32052725553512573","0.32052725553512573","16","16","16","0.3128790259361267","0.3128790259361267","0.3128790259361267","16","16","16","0.3089924454689026","0.3089924454689026","0.3089924454689026"
"9","18","18","18","0.300697922706604","0.300697922706604","0.300697922706604","18","18","18","0.23456500470638275","0.23456500470638275","0.23456500470638275","18","18","18","0.24229887127876282","0.24229887127876282","0.24229887127876282","18","18","18","0.2454884946346283","0.2454884946346283","0.2454884946346283","18","18","18","0.2667877972126007","0.2667877972126007","0.2667877972126007"
