"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset.cache_data","dataset.data_dir","dataset.dev","dataset.experiment","dataset.patch_overlap","dataset.patch_size","dataset.project","dataset.queue_length","dataset.rescale_factor","dataset.samples_per_volume","dataset.test","dataset.train","dataset.unlabeled_dataset","dataset.use_patches","model_opts.arch","model_opts.args.arch","model_opts.args.classification_loss","model_opts.args.encoder_name","model_opts.args.encoder_weights","model_opts.args.inchannels","model_opts.args.net_depth","model_opts.args.outchannels","model_opts.name","train_par.batch_size","train_par.devices","train_par.early_stopping_flag","train_par.epochs","train_par.eval_threshold","train_par.gpu_to_use","train_par.loss_opts.args.alpha","train_par.loss_opts.args.gamma","train_par.loss_opts.args.weight","train_par.loss_opts.name","train_par.lr","train_par.num_classes","train_par.optimizer.name","train_par.patience","train_par.profiler","train_par.random_seed","train_par.results_model_filename","train_par.results_path","train_par.scheduler.name","train_par.strategy","train_par.weight_decay","train_par.workers","epoch","test_dataset_acc","test_dataset_f1","test_dataset_iou","test_per_image_acc","test_per_image_f1","test_per_image_iou","train_dataset_acc","train_dataset_f1","train_dataset_iou","train_per_image_acc","train_per_image_f1","train_per_image_iou","trainer/global_step","valid_dataset_acc","valid_dataset_f1","valid_dataset_iou","valid_per_image_acc","valid_per_image_f1","valid_per_image_iou"
"experiment1_uncorrected_lm_r3_deeplabv3plus","finished","-","","","2025-05-19T04:36:03.000Z","67","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","deeplabv3plus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lm_r3_deeplabv3plus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","23","0.8921283483505249","0.4330807626247406","0.2820330262184143","0.8921282887458801","0.338286817073822","0.2482426017522812","0.9841551780700684","0.9118372201919556","0.8379868865013123","0.9841551780700684","0.8221228122711182","0.7467666864395142","23","0.8808224201202393","0.34872758388519287","0.2125931680202484","0.8808224201202393","0.3347424566745758","0.23966345191001892"
"experiment1_uncorrected_lm_r3_unet","finished","-","","","2025-05-19T04:34:46.000Z","66","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","unet","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lm_r3_unet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","23","0.8988343477249146","0.48982036113739014","0.3341710567474365","0.8988343477249146","0.3684537410736084","0.27637189626693726","0.9852805733680724","0.917283296585083","0.8472734689712524","0.9852805137634276","0.8381003141403198","0.7625153064727783","23","0.8823466897010803","0.3925541937351227","0.24457010626792908","0.8823466300964355","0.3728688359260559","0.2663182020187378"
"experiment1_uncorrected_lm_r3_unetplusplus","finished","-","","","2025-05-19T04:33:28.000Z","66","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","unetplusplus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lm_r3_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","23","0.8953929543495178","0.44811952114105225","0.2982556223869324","0.8953929543495178","0.3415667414665222","0.2506890594959259","0.9858691692352296","0.9203564524650574","0.8525365591049194","0.9858691692352296","0.8404573202133179","0.7658216953277588","23","0.8811148405075073","0.3524782061576843","0.21472018957138064","0.8811148405075073","0.3425457775592804","0.24494493007659912"
"experiment1_uncorrected_lm_r3_manet","finished","-","","","2025-05-19T04:32:11.000Z","66","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","manet","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lm_r3_manet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","23","0.886553168296814","0.3609918355941773","0.23124265670776367","0.8865531086921692","0.257851779460907","0.18939228355884552","0.9853169918060304","0.9173940420150756","0.8475158214569092","0.9853169918060304","0.842698872089386","0.7664930820465088","23","0.8737353682518005","0.27093368768692017","0.15681138634681702","0.8737353086471558","0.27245092391967773","0.1917734742164612"
"experiment1_uncorrected_lm_r3_pspnet","finished","-","","","2025-05-19T04:30:53.000Z","66","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","pspnet","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lm_r3_pspnet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","23","0.8999361395835876","0.48771142959594727","0.3333931565284729","0.8999360799789429","0.3742755651473999","0.2801327705383301","0.9845702648162842","0.9137775897979736","0.8412822484970093","0.9845702648162842","0.8293087482452393","0.7527236938476562","23","0.8830728530883789","0.3874650299549103","0.24147334694862368","0.8830728530883789","0.3716805577278137","0.26821091771125793"
"experiment1_uncorrected_lb_r3_deeplabv3plus","finished","-","","","2025-05-19T04:28:16.000Z","145","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","true","false","deeplabv3plus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lb_r3_deeplabv3plus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","62","0.9669209122657776","0.7182028293609619","0.5618826150894165","0.9669209122657776","0.651991605758667","0.5451306104660034","0.9942227602005004","0.9708164930343628","0.9433295726776124","0.9942226409912108","0.9411277174949646","0.9042516946792604","62","0.9476724863052368","0.6427238583564758","0.47407785058021545","0.947672426700592","0.586393415927887","0.5069577693939209"
"experiment1_uncorrected_lb_r3_unet","finished","-","","","2025-05-19T04:25:42.000Z","142","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","true","false","unet","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lb_r3_unet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","60","0.9641392230987548","0.7003387212753296","0.5397516489028931","0.9641392230987548","0.6423300504684448","0.5381912589073181","0.9944331645965576","0.9731005430221558","0.9476513862609864","0.994433045387268","0.9433812499046326","0.9073058366775512","60","0.9422388672828674","0.6116436123847961","0.4407106637954712","0.9422388076782228","0.5711380839347839","0.4901277422904968"
"experiment1_uncorrected_lb_r3_unetplusplus","finished","-","","","2025-05-19T04:23:28.000Z","123","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","true","false","unetplusplus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lb_r3_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","51","0.9662107229232788","0.709450364112854","0.5534381866455078","0.9662107229232788","0.6494640111923218","0.5432546734809875","0.9935104846954346","0.9679872393608092","0.9380261898040771","0.993510365486145","0.933402419090271","0.8928406238555908","51","0.9469484090805054","0.6393941640853882","0.47056809067726135","0.9469484090805054","0.575376570224762","0.4957021176815033"
"experiment1_uncorrected_lb_r3_manet","finished","-","","","2025-05-19T04:20:53.000Z","144","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","true","false","manet","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lb_r3_manet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","62","0.9606168270111084","0.6790444850921631","0.5158716440200806","0.9606167078018188","0.6173383593559265","0.5039927363395691","0.9948940277099608","0.9745163917541504","0.9503121972084044","0.9948940277099608","0.9477498531341552","0.91091787815094","62","0.94367778301239","0.6341545581817627","0.4647001624107361","0.9436777234077454","0.575594425201416","0.48750779032707214"
"experiment1_uncorrected_lb_r3_pspnet","finished","-","","","2025-05-19T04:18:35.000Z","127","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","true","false","pspnet","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lb_r3_pspnet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","53","0.9703195095062256","0.7415972948074341","0.5911674499511719","0.9703195095062256","0.6714586019515991","0.5669596791267395","0.9934542775154114","0.96785306930542","0.9377501606941224","0.9934542775154114","0.9357746839523317","0.8968926668167114","53","0.9479718804359436","0.6362106204032898","0.4667997658252716","0.9479718208312988","0.578317403793335","0.5036905407905579"
