"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset.cache_data","dataset.data_dir","dataset.dev","dataset.experiment","dataset.patch_overlap","dataset.patch_size","dataset.project","dataset.queue_length","dataset.rescale_factor","dataset.samples_per_volume","dataset.test","dataset.train","dataset.unlabeled_dataset","dataset.use_patches","model_opts.arch","model_opts.args.arch","model_opts.args.binary_split","model_opts.args.classification_loss","model_opts.args.encoder_name","model_opts.args.encoder_weights","model_opts.args.inchannels","model_opts.args.net_depth","model_opts.args.outchannels","model_opts.name","train_par.batch_size","train_par.devices","train_par.early_stopping_flag","train_par.epochs","train_par.eval_threshold","train_par.gpu_to_use","train_par.loss_opts.args.alpha","train_par.loss_opts.args.beta","train_par.loss_opts.args.gamma","train_par.loss_opts.args.gamma_class","train_par.loss_opts.args.gamma_close","train_par.loss_opts.args.gamma_mom","train_par.loss_opts.args.gamma_round","train_par.loss_opts.args.gamma_topo","train_par.loss_opts.args.weight","train_par.loss_opts.name","train_par.lr","train_par.num_classes","train_par.optimizer.name","train_par.patience","train_par.profiler","train_par.random_seed","train_par.results_model_filename","train_par.results_path","train_par.scheduler.name","train_par.strategy","train_par.weight_decay","train_par.workers","epoch","train_dataset_acc","train_dataset_acc_benign","train_dataset_acc_malignant","train_dataset_f1","train_dataset_f1_benign","train_dataset_f1_malignant","train_dataset_iou","train_dataset_iou_benign","train_dataset_iou_malignant","train_per_image_acc","train_per_image_acc_benign","train_per_image_acc_malignant","train_per_image_f1","train_per_image_f1_benign","train_per_image_f1_malignant","train_per_image_iou","train_per_image_iou_benign","train_per_image_iou_malignant","trainer/global_step","valid_dataset_acc","valid_dataset_acc_benign","valid_dataset_acc_malignant","valid_dataset_f1","valid_dataset_f1_benign","valid_dataset_f1_malignant","valid_dataset_iou","valid_dataset_iou_benign","valid_dataset_iou_malignant","valid_per_image_acc","valid_per_image_acc_benign","valid_per_image_acc_malignant","valid_per_image_f1","valid_per_image_f1_benign","valid_per_image_f1_malignant","valid_per_image_iou","valid_per_image_iou_benign","valid_per_image_iou_malignant","test_dataset_acc","test_dataset_acc_benign","test_dataset_acc_malignant","test_dataset_f1","test_dataset_f1_benign","test_dataset_f1_malignant","test_dataset_iou","test_dataset_iou_benign","test_dataset_iou_malignant","test_per_image_acc","test_per_image_acc_benign","test_per_image_acc_malignant","test_per_image_f1","test_per_image_f1_benign","test_per_image_f1_malignant","test_per_image_iou","test_per_image_iou_benign","test_per_image_iou_malignant"
"_uncorrected_lm_r3_deeplabv3plus","finished","-","","","2025-05-22T00:24:09.000Z","353","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","deeplabv3plus","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r3_deeplabv3plus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","163","0.9983412027359008","","","0.9894750118255616","","","0.9791698455810548","","","0.9983412027359008","","","0.9840165972709656","","","0.9687216877937316","","","163","0.8792394399642944","","","0.4675274193286896","","","0.3054763674736023","","","0.8792394399642944","","","0.4583061635494232","","","0.33961451053619385","","","0.8898199200630188","","","0.4865140318870544","","","0.32353681325912476","","","0.889819860458374","","","0.4836885631084442","","","0.3615470826625824","",""
"_uncorrected_lm_r3_unet","finished","-","","","2025-05-22T00:20:41.000Z","196","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","unet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r3_unet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","85","0.9969006776809692","","","0.9805662631988524","","","0.9618762731552124","","","0.9969006776809692","","","0.957194983959198","","","0.9357566237449646","","","85","0.8833972215652466","","","0.49188733100891113","","","0.32656925916671753","","","0.8833972215652466","","","0.47247201204299927","","","0.3550403118133545","","","0.8980131149291992","","","0.5266395807266235","","","0.3604726195335388","","","0.8980130553245544","","","0.5117857456207275","","","0.39042389392852783","",""
"_uncorrected_lm_r3_unetplusplus","finished","-","","","2025-05-22T00:16:27.000Z","242","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","unetplusplus","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r3_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","108","0.9975579977035522","","","0.9841450452804564","","","0.9687930345535278","","","0.9975579977035522","","","0.9671250581741332","","","0.9464559555053712","","","108","0.8822201490402222","","","0.4621856212615967","","","0.3010290861129761","","","0.8822200894355774","","","0.44825947284698486","","","0.3362162113189697","","","0.8941517472267151","","","0.48616671562194824","","","0.3247029185295105","","","0.8941516876220703","","","0.4721924066543579","","","0.3545548915863037","",""
"_uncorrected_lm_r3_manet","finished","-","","","2025-05-22T00:11:19.000Z","297","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","manet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r3_manet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","135","0.9979794025421144","","","0.9872132539749146","","","0.9747493863105774","","","0.9979792833328248","","","0.9728826284408568","","","0.956557035446167","","","135","0.8817558288574219","","","0.4784902334213257","","","0.31478017568588257","","","0.8817558288574219","","","0.46304699778556824","","","0.3437332510948181","","","0.8917912244796753","","","0.4906407594680786","","","0.3270149230957031","","","0.8917912244796753","","","0.48451006412506104","","","0.3585215210914612","",""
"_uncorrected_lm_r3_pspnet","finished","-","","","2025-05-22T00:08:08.000Z","180","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","pspnet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r3_pspnet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","78","0.9965338110923768","","","0.976588010787964","","","0.9543403387069702","","","0.996533751487732","","","0.9532954692840576","","","0.9285311698913574","","","78","0.877023458480835","","","0.3776816725730896","","","0.23338639736175537","","","0.877023458480835","","","0.3683435320854187","","","0.2745390236377716","","","0.8865994215011597","","","0.4042103588581085","","","0.255447119474411","","","0.8865994215011597","","","0.3978131115436554","","","0.2951682209968567","",""
"_uncorrected_lb_r3_deeplabv3plus","finished","-","","","2025-05-22T00:04:37.000Z","199","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","true","false","deeplabv3plus","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r3_deeplabv3plus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","87","0.9956690073013306","","","0.9776800870895386","","","0.9563925266265868","","","0.9956690073013306","","","0.9490818977355956","","","0.9208269119262696","","","87","0.948172092437744","","","0.6381469368934631","","","0.4689907431602478","","","0.948172092437744","","","0.5897943377494812","","","0.5052540302276611","","","0.9691486358642578","","","0.72393798828125","","","0.568388819694519","","","0.9691486358642578","","","0.646897554397583","","","0.5366559028625488","",""
"_uncorrected_lb_r3_unet","finished","-","","","2025-05-22T00:01:04.000Z","201","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","true","false","unet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r3_unet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","87","0.9956459999084472","","","0.977840781211853","","","0.9566699266433716","","","0.9956459999084472","","","0.955764651298523","","","0.9222233295440674","","","87","0.9470566511154176","","","0.6344784498214722","","","0.4650261402130127","","","0.9470565915107728","","","0.5859304070472717","","","0.5007337331771851","","","0.9654293060302734","","","0.7021547555923462","","","0.5429277420043945","","","0.9654293060302734","","","0.6402305364608765","","","0.5282871723175049","",""
"_uncorrected_lb_r3_unetplusplus","finished","-","","","2025-05-21T23:57:51.000Z","181","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","true","false","unetplusplus","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r3_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","77","0.9951901435852052","","","0.9757487773895264","","","0.9527448415756226","","","0.9951901435852052","","","0.9536622762680054","","","0.9233787059783936","","","77","0.942541003227234","","","0.6306727528572083","","","0.4606276750564575","","","0.9425409436225892","","","0.5722190141677856","","","0.4859364628791809","","","0.9596314430236816","","","0.6838338375091553","","","0.5207115411758423","","","0.9596314430236816","","","0.6080580353736877","","","0.4979245960712433","",""
"_uncorrected_lb_r3_manet","finished","-","","","2025-05-21T23:54:17.000Z","203","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","true","false","manet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r3_manet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","87","0.9955909252166748","","","0.9773160815238952","","","0.9556949138641356","","","0.99559086561203","","","0.95415198802948","","","0.924540400505066","","","87","0.9471691846847534","","","0.6353979110717773","","","0.4660438895225525","","","0.947169065475464","","","0.5810664892196655","","","0.4969934821128845","","","0.9674091935157776","","","0.7149790525436401","","","0.5583497285842896","","","0.9674091935157776","","","0.648482084274292","","","0.5399725437164307","",""
"_uncorrected_lb_r3_pspnet","finished","-","","","2025-05-21T23:50:48.000Z","198","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","true","false","pspnet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r3_pspnet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","85","0.9956777095794678","","","0.9791799783706664","","","0.9592247009277344","","","0.9956777095794678","","","0.9591602087020874","","","0.9314460754394532","","","85","0.9420673847198486","","","0.6235554218292236","","","0.4530900716781616","","","0.942067325115204","","","0.5678325891494751","","","0.4815661013126374","","","0.9581857323646544","","","0.6708183884620667","","","0.5053791999816895","","","0.9581857919692992","","","0.5995338559150696","","","0.49140819907188416","",""
